experiment,name,algorithm,partition,site,split,patients,images,patients_HRposHER2neg,patients_TripleNeg,patients_HER2pos,cohorts,pct_patients,pct_images
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_1,train,678,5395,343,182,153,"{""spy2"": 438, ""duke"": 357, ""spy1"": 53}",44.4,44.47
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_1,val,170,1358,86,46,38,"{""spy2"": 438, ""duke"": 357, ""spy1"": 53}",11.13,11.19
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_2,train,273,2171,138,73,62,"{""duke"": 150, ""spy2"": 165, ""spy1"": 25}",17.88,17.9
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_2,val,67,534,34,18,15,"{""duke"": 150, ""spy2"": 165, ""spy1"": 25}",4.39,4.4
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_3,train,136,1073,69,37,30,"{""spy2"": 84, ""duke"": 77, ""spy1"": 9}",8.91,8.85
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_3,val,34,266,17,9,8,"{""spy2"": 84, ""duke"": 77, ""spy1"": 9}",2.23,2.19
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_4,train,135,1066,69,36,30,"{""spy2"": 97, ""duke"": 58, ""spy1"": 14}",8.84,8.79
test09,test09_fedprox_skewed,fedprox,4_clients_skewed,hospital_4,val,34,268,17,9,8,"{""spy2"": 97, ""duke"": 58, ""spy1"": 14}",2.23,2.21
test10,test10_fedavg_cohort,fedavg,3_clients_cohort,hospital_1,train,514,4067,341,82,91,"{""duke"": 642}",33.66,33.53
test10,test10_fedavg_cohort,fedavg,3_clients_cohort,hospital_1,val,128,1007,85,20,23,"{""duke"": 642}",8.38,8.3
test10,test10_fedavg_cohort,fedavg,3_clients_cohort,hospital_2,train,82,652,34,22,26,"{""spy1"": 101}",5.37,5.37
test10,test10_fedavg_cohort,fedavg,3_clients_cohort,hospital_2,val,19,152,8,5,6,"{""spy1"": 101}",1.24,1.25
test10,test10_fedavg_cohort,fedavg,3_clients_cohort,hospital_3,train,627,5005,244,225,158,"{""spy2"": 784}",41.06,41.26
test10,test10_fedavg_cohort,fedavg,3_clients_cohort,hospital_3,val,157,1248,61,56,40,"{""spy2"": 784}",10.28,10.29
test12,test12_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_1,train,514,4096,260,138,116,"{""spy2"": 329, ""duke"": 270, ""spy1"": 43}",33.66,33.76
test12,test12_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_1,val,128,1020,65,34,29,"{""spy2"": 329, ""duke"": 270, ""spy1"": 43}",8.38,8.41
test12,test12_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_2,train,81,640,41,22,18,"{""spy2"": 54, ""duke"": 43, ""spy1"": 4}",5.3,5.28
test12,test12_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_2,val,20,160,10,5,5,"{""spy2"": 54, ""duke"": 43, ""spy1"": 4}",1.31,1.32
test12,test12_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_3,train,628,4976,318,169,141,"{""spy2"": 401, ""duke"": 329, ""spy1"": 54}",41.13,41.02
test12,test12_fedavg_sizematched,fedavg,3_clients_sizematched,hospital_3,val,156,1239,79,42,35,"{""spy2"": 401, ""duke"": 329, ""spy1"": 54}",10.22,10.21
test11,test11_fedprox_cohort,fedprox,3_clients_cohort,hospital_1,train,514,4067,341,82,91,"{""duke"": 642}",33.66,33.53
test11,test11_fedprox_cohort,fedprox,3_clients_cohort,hospital_1,val,128,1007,85,20,23,"{""duke"": 642}",8.38,8.3
test11,test11_fedprox_cohort,fedprox,3_clients_cohort,hospital_2,train,82,652,34,22,26,"{""spy1"": 101}",5.37,5.37
test11,test11_fedprox_cohort,fedprox,3_clients_cohort,hospital_2,val,19,152,8,5,6,"{""spy1"": 101}",1.24,1.25
test11,test11_fedprox_cohort,fedprox,3_clients_cohort,hospital_3,train,627,5005,244,225,158,"{""spy2"": 784}",41.06,41.26
test11,test11_fedprox_cohort,fedprox,3_clients_cohort,hospital_3,val,157,1248,61,56,40,"{""spy2"": 784}",10.28,10.29
test13,test13_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_1,train,514,4096,260,138,116,"{""spy2"": 329, ""duke"": 270, ""spy1"": 43}",33.66,33.76
test13,test13_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_1,val,128,1020,65,34,29,"{""spy2"": 329, ""duke"": 270, ""spy1"": 43}",8.38,8.41
test13,test13_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_2,train,81,640,41,22,18,"{""spy2"": 54, ""duke"": 43, ""spy1"": 4}",5.3,5.28
test13,test13_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_2,val,20,160,10,5,5,"{""spy2"": 54, ""duke"": 43, ""spy1"": 4}",1.31,1.32
test13,test13_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_3,train,628,4976,318,169,141,"{""spy2"": 401, ""duke"": 329, ""spy1"": 54}",41.13,41.02
test13,test13_fedprox_sizematched,fedprox,3_clients_sizematched,hospital_3,val,156,1239,79,42,35,"{""spy2"": 401, ""duke"": 329, ""spy1"": 54}",10.22,10.21
